Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2015,23000,Diesel,Automatic,First,19.0,1968,141,5.0,0.0,19210.9
Honda City 1.5 S MT,Mumbai,2014,54546,Petrol,Manual,First,17.0,1497,118,5.0,0.0,6708.57
Toyota Fortuner 4x2 AT,Kochi,2015,51535,Diesel,Automatic,First,12.5,2982,168.5,7.0,0.0,23211.65
Audi Q3 2.0 TDI Quattro,Kolkata,2013,45000,Diesel,Automatic,First,17.3,1968,184,5.0,0.0,18601.04
Maruti Alto K10 2010-2014 VXI,Hyderabad,2012,46004,Petrol,Manual,First,20.9,998,67.1,5.0,0.0,2927.38
Tata Indigo eCS LX BSIV,Chennai,2011,124000,Diesel,Manual,First,23.0,1396,69,5.0,0.0,2805.4
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2014,77395,Diesel,Automatic,First,17.1,1968,174.33,5.0,0.0,17503.27
Maruti Alto 800 2016-2019 CNG LXI,Mumbai,2018,10600,CNG,Manual,First,46.815999999999995,796,40.3,4.0,0.0,4269.09
Honda City i-VTEC CVT VX,Kochi,2018,22974,Petrol,Automatic,First,18.0,1497,117.3,5.0,18966.96,14600.29
Hyundai Santro GLS I - Euro II,Jaipur,2009,89000,Petrol,Manual,Second,0.0,999,0,5.0,0.0,1951.58
Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,Diesel,Manual,First,14.2,2755,174.5,7.0,39580.56,23053.09
Hyundai Grand i10 Sportz,Ahmedabad,2017,17125,Petrol,Manual,First,18.0,1197,82,5.0,0.0,6586.6
Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.0,1196,73,7.0,5891.34,3598.23
Volkswagen Polo Petrol Highline 1.2L,Bangalore,2013,37000,Petrol,Manual,First,16.4,1198,73.9,5.0,0.0,6220.67
Maruti Wagon R LXI Minor,Jaipur,2006,65000,Petrol,Manual,First,18.0,1061,67,5.0,0.0,1829.61
Honda City 1.5 V MT,Bangalore,2011,66000,Petrol,Manual,First,17.0,1497,118,5.0,0.0,5976.73
Honda Civic 2010-2013 1.8 S MT,Mumbai,2010,86000,Petrol,Manual,First,14.0,1799,130.2,5.0,0.0,3537.25
Honda City 1.5 EXI,Pune,2005,98437,Petrol,Manual,First,13.0,1493,100,5.0,0.0,1402.7
Hyundai i20 1.2 Magna,Kolkata,2010,18000,Petrol,Manual,First,18.0,1197,80,5.0,0.0,2805.4
Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,35070,Diesel,Manual,First,24.0,1120,70,5.0,0.0,7306.24
Volkswagen Vento Petrol Highline AT,Pune,2011,42000,Petrol,Automatic,Third,14.0,1598,103.6,5.0,0.0,4147.12
Hyundai i10 Sportz 1.2,Kolkata,2009,40000,Petrol,Manual,First,20.3,1197,78.9,5.0,0.0,2073.56
Hyundai i20 Asta,Kolkata,2009,43000,Petrol,Manual,First,17.0,1197,80,5.0,0.0,2427.28
Chevrolet Beat LS,Pune,2012,65000,Petrol,Manual,First,18.0,1199,79.4,5.0,0.0,3049.35
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,74000,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,5915.74
Ford Figo Petrol LXI,Hyderabad,2010,51192,Petrol,Manual,First,15.0,1196,70,5.0,0.0,3232.31
Audi TT 2.0 TFSI,Kochi,2014,14262,Petrol,Automatic,First,9.0,1984,207.8,2.0,0.0,33359.89
Honda City i DTEC VX,Jaipur,2015,66339,Diesel,Manual,Second,25.0,1498,98.6,5.0,0.0,8416.21
Ford Figo Diesel Titanium,Hyderabad,2013,90200,Diesel,Manual,First,20.0,1399,68.05,5.0,0.0,4269.09
Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,2015,57854,Diesel,Manual,First,12.9,2494,100.6,7.0,0.0,15246.75
Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,Petrol,Automatic,First,19.1,1373,91.1,5.0,0.0,11221.61
Hyundai Grand i10 AT Asta,Mumbai,2015,29631,Petrol,Automatic,First,18.0,1197,82,5.0,0.0,5976.73
Honda City 1.3 DX,Delhi,2009,55005,Petrol,Manual,First,12.0,0,0,0.0,0.0,3903.17
Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,2014,54173,Petrol,Manual,First,18.8,999,123.24,5.0,0.0,6769.56
Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,2014,50000,Petrol,Automatic,First,14.0,1798,177.6,5.0,0.0,16466.49
Fiat Linea Emotion (Diesel),Kolkata,2010,145000,Diesel,Manual,First,20.0,1248,91.7,5.0,0.0,3171.32
Maruti Swift Lxi BSIII,Jaipur,2015,78000,Petrol,Manual,First,16.0,1298,88.2,5.0,0.0,5488.83
Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,Diesel,Automatic,Second,11.0,2993,180,7.0,0.0,41471.16
Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2012,120000,Diesel,Manual,First,12.0,2494,102,7.0,0.0,14636.88
Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.0,1248,74,5.0,8696.75,6403.64
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,Diesel,Automatic,First,17.6,1968,174.33,5.0,0.0,26297.59
BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.4,1995,190,5.0,87601.73,30103.18
Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,Petrol,Manual,First,18.0,1197,82.9,5.0,0.0,4476.45
BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.0,1995,190,5.0,62170.15,35982.33
Toyota Etios G,Delhi,2012,60000,Petrol,Manual,First,17.0,1496,88.73,5.0,0.0,3781.19
Tata Indigo LX,Ahmedabad,2015,78008,Diesel,Manual,First,17.0,1405,70,5.0,0.0,3537.25
Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,Diesel,Automatic,Second,0.0,2987,165,5.0,0.0,52448.82
Volkswagen Beetle 2.0,Mumbai,2009,27078,Petrol,Automatic,First,10.9,1984,114.4,4.0,0.0,19454.85
Volkswagen Polo GT TDI,Hyderabad,2011,57275,Diesel,Manual,First,19.0,1598,103.6,5.0,0.0,5488.83
Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,Diesel,Manual,First,24.0,1120,70,5.0,0.0,4256.89
Maruti Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.0,1248,74,5.0,0.0,5183.9
Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396,88.76,5.0,13087.81,2317.51
BMW 5 Series 2003-2012 525d,Mumbai,2011,89000,Diesel,Automatic,First,16.7,1995,218,5.0,0.0,20211.09
Honda City 1.5 S MT,Bangalore,2012,72000,Petrol,Manual,First,17.0,1497,118,5.0,0.0,7013.5
Audi A4 2.0 TDI,Delhi,2013,36000,Diesel,Automatic,Second,16.5,1968,147.51,5.0,0.0,17076.36
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.0,1248,75,5.0,11587.53,3049.35
Honda City 1.3 EXI,Ahmedabad,2002,85000,Petrol,Manual,First,13.0,1343,90,5.0,0.0,1463.69
Fiat Petra 1.2 EL,Pune,2005,120000,Petrol,Manual,Second,15.0,1242,0,5.0,0.0,1036.78
BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.6,1995,190,5.0,63987.56,17015.37
Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,Petrol,Manual,First,16.0,1388,68,5.0,0.0,1951.58
Tata Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.0,624,37.48,4.0,0.0,4391.06
Maruti Eeco 5 STR With AC Plus HTR CNG,Mumbai,2018,20000,CNG,Manual,First,21.139999999999997,1196,73,5.0,0.0,5488.83
Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.8,1197,81.80,5.0,7403.82,7391.62
Maruti Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.0,1298,85.8,5.0,0.0,6452.42
Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.0,1498,89.84,5.0,0.0,7013.5
Maruti Swift 1.3 ZXI,Hyderabad,2015,50295,Petrol,Manual,First,16.0,0,0,0.0,0.0,7074.49
Maruti Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.0,1197,85.8,5.0,0.0,6976.91
Hyundai i10 Sportz AT,Kochi,2014,61517,Petrol,Automatic,First,16.9,1197,78.9,5.0,0.0,5354.66
Mahindra XUV500 W6 2WD,Coimbatore,2016,62946,Diesel,Manual,First,15.0,2179,140,7.0,0.0,13478.13
Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,Diesel,Manual,Second,22.5,1396,88.73,5.0,0.0,5891.34
Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,46.955999999999996,998,67.04,5.0,6757.36,3610.43
Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,Diesel,Manual,Second,21.2,1396,88.76,5.0,0.0,5488.83
BMW 7 Series 730Ld,Mumbai,2011,55000,Diesel,Automatic,Second,16.4,2993,258,5.0,0.0,23784.93
Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,Petrol,Automatic,First,14.0,1598,103.52,5.0,0.0,10672.72
Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,First,14.7,2967,245,7.0,1268.53,81722.58
Honda City i VTEC VX,Kochi,2016,54317,Petrol,Manual,First,17.0,1497,117.3,5.0,0.0,10245.82
Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.0,1197,82,5.0,0.0,6086.5
Honda City i DTec E,Coimbatore,2016,24337,Diesel,Manual,First,26.0,1498,98.6,5.0,0.0,9977.47
Honda Brio S Option MT,Pune,2012,79000,Petrol,Manual,First,18.0,1198,86.8,5.0,0.0,3537.25
Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.0,1248,88.5,5.0,0.0,8660.15
Maruti Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.5,1248,74,5.0,0.0,8599.17
Honda CR-V 2.4L 4WD AT,Pune,2015,63050,Petrol,Automatic,First,11.0,2354,158.8,5.0,0.0,21345.45
Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,Petrol,Automatic,Second,14.5,1794,138.1,5.0,0.0,4159.31
Maruti Baleno Vxi,Pune,2005,70000,Petrol,Manual,First,0.0,1590,0,5.0,0.0,1585.66
Honda City 1.5 V MT,Coimbatore,2012,66245,Petrol,Manual,First,17.0,1497,118,5.0,0.0,6928.12
Mahindra Scorpio LX BS IV,Bangalore,2007,74112,Diesel,Manual,First,12.0,2179,120,9.0,0.0,5000.93
Skoda Laura 1.8 TSI Ambiente,Delhi,2011,87670,Petrol,Manual,First,13.0,1798,157.8,5.0,0.0,4878.96
BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,First,18.8,1995,184,5.0,0.0,36592.2
Maruti SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0,1586,104.68,5.0,0.0,2195.53
Maruti Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.7,1373,91.1,5.0,0.0,8452.8
Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,Diesel,Automatic,First,10.0,4367,308,7.0,0.0,85381.8
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,Diesel,Manual,First,12.9,2494,100,7.0,0.0,9635.95
Hyundai Santro Xing GL,Kochi,2011,20842,Petrol,Manual,First,0.0,1086,62,5.0,0.0,3390.88
Hyundai Santa Fe 4WD AT,Chennai,2014,110000,Diesel,Automatic,First,13.0,2199,194.3,7.0,0.0,17564.26
Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,2011,45000,Petrol,Automatic,Second,11.7,1796,186,5.0,0.0,16466.49
Maruti Wagon R LXI CNG,Mumbai,2014,40000,CNG,Manual,Second,37.24,998,58.16,5.0,0.0,3842.18
Maruti Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.0,796,46.3,5.0,0.0,3512.85
Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.0,796,47.3,5.0,0.0,2622.44
Nissan Sunny 2011-2014 XV,Pune,2013,8000,Petrol,Manual,First,16.9,1498,97.7,5.0,0.0,4574.02
Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.0,796,47.3,5.0,0.0,4391.06
Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.0,998,67.1,5.0,5281.47,4391.06
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.0,1197,81.86,5.0,10526.36,9209.04
Honda Mobilio S i DTEC,Kolkata,2015,50000,Diesel,Manual,First,24.0,1498,98.6,7.0,0.0,5732.78
Tata Manza Aqua Quadrajet,Jaipur,2010,100030,Diesel,Manual,Second,18.0,1248,90,5.0,0.0,1951.58
Chevrolet Optra Magnum 2.0 LT,Pune,2011,75372,Diesel,Manual,First,16.5,1991,123.7,5.0,0.0,4073.93
Honda City i VTEC CVT VX,Kochi,2016,60475,Petrol,Automatic,First,18.0,1497,117.3,5.0,0.0,11099.63
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.0,1197,81.86,5.0,8147.86,7525.8
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582,126.2,5.0,17161.74,3049.35
Nissan Micra XL,Kolkata,2016,31001,Petrol,Manual,First,18.4,1198,75,5.0,0.0,3659.22
Hyundai Verna 1.6 SX,Jaipur,2012,65900,Diesel,Manual,First,22.3,1582,126.32,5.0,0.0,7013.5
Hyundai Creta 1.6 VTVT E Plus,Bangalore,2017,26246,Petrol,Manual,First,15.2,1591,121.3,5.0,0.0,13112.2
Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.5,998,67.04,5.0,0.0,3476.26
Honda Accord 2.4 Elegance A/T,Chennai,2008,90000,Petrol,Automatic,First,10.0,2354,180,5.0,0.0,7928.31
Honda City 1.5 S AT,Bangalore,2016,36000,Petrol,Automatic,First,16.0,1497,118,5.0,0.0,11526.54
Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.3,1248,74,5.0,0.0,8233.25
Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498,98.6,5.0,0.0,9452.98
Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.5,1396,88.76,5.0,0.0,5366.86
Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987,265,5.0,0.0,51229.08
Nissan Terrano XV 110 PS,Kochi,2014,103788,Diesel,Manual,First,19.0,1461,108.5,5.0,0.0,6915.93
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.0,1461,108.45,5.0,18357.09,14027.01
Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.0,998,67.1,5.0,0.0,2061.36
Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,97359,Diesel,Manual,Second,17.0,1493,110,5.0,0.0,2195.53
Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.0,1197,85.80,5.0,0.0,3903.17
Honda City 1.5 GXI,Pune,2004,115000,Petrol,Manual,Second,0.0,0,0,0.0,0.0,1829.61
BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.4,1995,187.74,5.0,0.0,55937.28
Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.4,1198,74,5.0,0.0,6220.67
Maruti Swift VDI BSIV,Pune,2013,37000,Diesel,Manual,First,17.0,1248,0,5.0,0.0,5915.74
Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.0,1196,70,5.0,0.0,2927.38
BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.8,1995,184,5.0,0.0,26834.28
Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,70707,Diesel,Manual,First,22.3,1582,126.32,5.0,0.0,5220.49
Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.4,1461,83.8,5.0,0.0,6915.93
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.0,1197,81.86,5.0,9733.53,7562.39
BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.0,1995,184,5.0,0.0,17674.03
Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.0,1248,73.9,5.0,0.0,3659.22
Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.8,1086,68.05,5.0,0.0,2744.42
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.9,2993,258,7.0,0.0,53400.22
Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.0,1497,116.3,5.0,0.0,13966.02
Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.1,2696,184,7.0,0.0,12807.27
Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.0,1498,89.84,5.0,0.0,9123.66
Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.0,796,46.3,5.0,0.0,3781.19
Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.4,1198,74,5.0,0.0,3110.34
Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,4269.09
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.0,1199,73.9,5.0,0.0,3159.13
Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.7,1248,88.8,7.0,0.0,6647.58
Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.7,1498,98.59,5.0,0.0,7318.44
Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.3,2755,171.5,7.0,30273.95,18893.77
BMW 5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.0,2497,150,5.0,0.0,15246.75
Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.0,1248,74,5.0,0.0,5793.76
Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.8,999,123.24,5.0,0.0,9574.96
Hyundai Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.0,1493,110,5.0,0.0,7318.44
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.5,1193,88.7,5.0,9306.62,4878.96
Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.0,2967,241.4,5.0,0.0,35067.52
Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.0,1248,74,5.0,0.0,3049.35
Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.5,1248,74,5.0,0.0,6708.57
Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368,90,5.0,0.0,1939.39
Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.0,1197,81.83,5.0,0.0,7586.78
Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.0,814,55.2,5.0,0.0,3354.28
Hyundai Santro Xing XL,Chennai,2007,82000,Petrol,Manual,Second,0.0,1086,0,5.0,0.0,1646.65
Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.0,2143,136,5.0,0.0,30493.5
Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.0,998,67.04,5.0,0.0,3415.27
Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.0,1199,76.8,5.0,0.0,2988.36
Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0,1199,88.7,5.0,0.0,7745.35
BMW 3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.0,1995,181,5.0,0.0,9757.92
Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.0,1461,108.45,5.0,0.0,10062.86
Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.0,1499,110.4,5.0,0.0,7257.45
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.6,2393,147.8,7.0,27883.26,24297.22
Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.4,936,56.3,5.0,0.0,3842.18
Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.2,1798,189,4.0,0.0,7013.5
Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.9,3198,197.2,7.0,0.0,39568.37
Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.3,1582,126.32,5.0,0.0,9770.12
Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.1,1196,86.8,5.0,0.0,7903.92
Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.0,796,37,4.0,0.0,914.8
Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498,98.6,5.0,0.0,6098.7
Mahindra XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179,140,7.0,0.0,9452.98
Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0,1399,68,5.0,0.0,3171.32
Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497,121.36,5.0,13490.32,11221.61
Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.0,1197,81.83,5.0,0.0,6159.69
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.9,2494,100,7.0,0.0,11709.5
Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.4,1461,83.8,5.0,0.0,6708.57
Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.9,2494,100.6,8.0,0.0,11404.57
Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0,1497,118,5.0,0.0,3171.32
Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.0,998,67.1,5.0,5525.42,4269.09
Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.4,1198,67.04,5.0,0.0,5196.09
Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.0,998,67.04,5.0,0.0,5183.9
Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.0,1796,178,5.0,0.0,14331.94
Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.0,1498,88.7,5.0,0.0,4269.09
Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.0,1591,121.3,5.0,0.0,9148.05
Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396,100,5.0,0.0,3964.16
Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.0,1298,85.8,5.0,0.0,5976.73
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.8,2143,170,5.0,0.0,32932.98
Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.0,1197,81.86,5.0,0.0,10867.88
Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.0,1591,121.4,5.0,0.0,8160.06
Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.0,1998,163.7,5.0,0.0,7342.83
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.2,1798,138.03,5.0,23650.76,5488.83
Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998,66.1,5.0,0.0,2439.48
Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.0,1461,63.1,5.0,0.0,2927.38
Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.0,624,37.48,4.0,0.0,1463.69
Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.0,1248,74,5.0,0.0,3537.25
Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,Petrol,Manual,First,0.0,0,0,0.0,0.0,49862.97
Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.3,1968,184,5.0,0.0,32932.98
Honda Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.0,1498,98.6,5.0,0.0,9148.05
Chevrolet Optra 1.6 LS,Mumbai,2004,98798,Petrol,Manual,First,14.0,1599,104,5.0,0.0,1829.61
Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,First,14.1,1968,174.3,5.0,0.0,48179.73
Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.0,1248,73.94,5.0,0.0,4134.92
Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,Diesel,Manual,First,15.0,2179,120,7.0,0.0,15124.78
Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.0,1248,88.5,5.0,0.0,8355.22
Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Diesel,Manual,Second,21.4,1364,138,5.0,0.0,7013.5
Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396,69,5.0,0.0,2439.48
Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.0,796,37,4.0,0.0,1097.77
Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.4,1198,74,5.0,0.0,4635.01
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.6,1999,149.92,5.0,26553.74,19942.75
Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.0,2982,169,7.0,0.0,20125.71
Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.0,1197,83.1,5.0,0.0,10611.74
Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.0,1197,83.1,5.0,0.0,7440.41
Mini Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.0,1998,112,5.0,0.0,26761.1
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987,210,5.0,0.0,26834.28
